average,close,dataid,deal,dealamount,dealnum,high,houseid,housetext,indate,indateStr,low,open,remark,subTypeId,subTypeLabel,subTypeName
0,74.02,8f729b3acddc418e8ed1c066706a1bf5,74.02,161076.0,2176,74.02,aae0171545a30b490145a30b490a0000,北京,2019-04-11,,74.02,74.02,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,74.12,576bc245610b417aa832dc8850542e7e,74.12,879635.0,11868,74.12,aae0171545a30b490145a30b490a0000,北京,2019-04-10,,74.12,74.12,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,74.44,768862cde8144575bc2c45f2b81535cc,74.44,0.0,0,74.44,aae0171545a30b490145a30b490a0000,北京,2019-04-09,,74.44,74.44,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,74.44,dea338d5a52d405b82b29502ffcb5b6d,74.44,1340.0,18,74.44,aae0171545a30b490145a30b490a0000,北京,2019-04-08,,74.44,74.44,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,73.0,5e4b911a29bf4752b4820a60bfa2bc7a,73.0,7300.0,100,73.0,aae0171545a30b490145a30b490a0000,北京,2019-04-04,,73.0,73.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,70.28,a7aa0df2507444a5b7efcecfd7956183,70.28,0.0,0,70.28,aae0171545a30b490145a30b490a0000,北京,2019-04-03,,70.28,70.28,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,70.28,f4220f1490d04338844653c23f0ae760,70.28,232838.0,3313,70.28,aae0171545a30b490145a30b490a0000,北京,2019-04-02,,70.28,70.28,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,69.82,fe81aea6592d487ca8444762af2012c6,69.82,0.0,0,69.82,aae0171545a30b490145a30b490a0000,北京,2019-04-01,,69.82,69.82,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,69.82,e34e8c04eda246979423838bdc3a2e0d,69.82,164575.0,2357,69.82,aae0171545a30b490145a30b490a0000,北京,2019-03-29,,69.82,69.82,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,69.29,8a15b8d56d0b4403897bf55711930c40,69.29,238504.0,3442,69.29,aae0171545a30b490145a30b490a0000,北京,2019-03-28,,69.29,69.29,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.5,27a49e132ecd476f8e5fee57673f07f6,67.5,0.0,0,67.5,aae0171545a30b490145a30b490a0000,北京,2019-03-27,,67.5,67.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.5,586d115d323c4f12be9863b735573101,67.5,0.0,0,67.5,aae0171545a30b490145a30b490a0000,北京,2019-03-26,,67.5,67.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.5,a8b7d4a823b942d0b8e0b49b16f405f2,67.5,0.0,0,67.5,aae0171545a30b490145a30b490a0000,北京,2019-03-25,,67.5,67.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.5,9f870465aa5f415cac78f68ad82c1b8d,67.5,135.0,2,67.5,aae0171545a30b490145a30b490a0000,北京,2019-03-22,,67.5,67.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.94,4bff97e35a9f4831b5958d339a133040,67.94,0.0,0,67.94,aae0171545a30b490145a30b490a0000,北京,2019-03-21,,67.94,67.94,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.94,0d4134fb8138459086b377e06beac248,67.94,0.0,0,67.94,aae0171545a30b490145a30b490a0000,北京,2019-03-20,,67.94,67.94,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.94,18a2270c16cf43c4baa67d85227d526e,67.94,0.0,0,67.94,aae0171545a30b490145a30b490a0000,北京,2019-03-19,,67.94,67.94,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.94,6d0e95bb885945d8b39089d7ea686931,67.94,679.4,10,67.94,aae0171545a30b490145a30b490a0000,北京,2019-03-18,,67.94,67.94,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.0,a22100f360d5467398f884971ef04a93,67.0,0.0,0,67.0,aae0171545a30b490145a30b490a0000,北京,2019-03-15,,67.0,67.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.0,f9c8b994baf64dfe975a15b57cfa64ba,67.0,0.0,0,67.0,aae0171545a30b490145a30b490a0000,北京,2019-03-14,,67.0,67.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,67.0,511c956bef35413ca10847f9a123a333,67.0,536.0,8,67.0,aae0171545a30b490145a30b490a0000,北京,2019-03-13,,67.0,67.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,68.4,e5c21e9dea4d40a180c93f9d64406ba2,68.4,0.0,0,68.4,aae0171545a30b490145a30b490a0000,北京,2019-03-12,,68.4,68.4,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,68.4,89c0e73ff51f43b28f3a1db59ad978e1,68.4,3420.0,50,68.4,aae0171545a30b490145a30b490a0000,北京,2019-03-11,,68.4,68.4,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,66.5,a06d923a69a0495badcad213dbca630d,66.5,6650.0,100,66.5,aae0171545a30b490145a30b490a0000,北京,2019-03-08,,66.5,66.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,65.0,9f14adc6e0cb4b1395fcb89e2e2293d7,65.0,6500.0,100,65.0,aae0171545a30b490145a30b490a0000,北京,2019-03-07,,65.0,65.0,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,63.67,8719ea9ecfa249e0806b16cde0dbcc21,63.67,9550.5,150,63.67,aae0171545a30b490145a30b490a0000,北京,2019-03-06,,63.67,63.67,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,61.79,c16020b0a484451daa2481ba6bf4881d,61.79,8650.06,140,61.79,aae0171545a30b490145a30b490a0000,北京,2019-03-05,,61.79,61.79,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,60.6,e6d3525cc0d843c79d59406d52b59dce,60.6,0.0,0,60.6,aae0171545a30b490145a30b490a0000,北京,2019-03-04,,60.6,60.6,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,60.6,97fd2c1da2ab4af090f2414d5440a88b,60.6,0.0,0,60.6,aae0171545a30b490145a30b490a0000,北京,2019-03-01,,60.6,60.6,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,60.6,ad4437f1871146958969d1ad3101b3e5,60.6,0.0,0,60.6,aae0171545a30b490145a30b490a0000,北京,2019-02-28,,60.6,60.6,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,60.6,ac880ec396764766aabd84336d26660e,60.6,0.0,0,60.6,aae0171545a30b490145a30b490a0000,北京,2019-02-27,,60.6,60.6,,aae0171545a30b490145a30b490a0000,TAN,BEA
0,60.5,cd6d3043d5d949d9bf2adf2a93e9c9b5,60.5,0.0,0,60.5,aae0171545a30b490145a30b490a0000,北京,2019-02-26,,60.5,60.5,,aae0171545a30b490145a30b490a0000,TAN,BEA
